date, region, infected, recovered, timestamp_requested
2021-08-02 04:21:36,Murmansk Oblast,62122,51207,08-03-2021 09.23.24
2021-08-02 04:21:36,Nenets Autonomous Okrug,1590,1479,08-03-2021 09.23.24
2021-08-02 04:21:36,Nizhny Novgorod Oblast,141093,128543,08-03-2021 09.23.24
2021-08-02 04:21:36,North Ossetia - Alania Republic,18821,17227,08-03-2021 09.23.24
2021-08-02 04:21:36,Novgorod Oblast,36635,34188,08-03-2021 09.23.24
2021-08-02 04:21:36,Novosibirsk Oblast,52919,44771,08-03-2021 09.23.24
2021-08-02 04:21:36,Omsk Oblast,61623,54760,08-03-2021 09.23.24
2021-08-02 04:21:36,Orel Oblast,40254,37967,08-03-2021 09.23.24
2021-08-02 04:21:36,Orenburg Oblast,56617,47076,08-03-2021 09.23.24
2021-08-02 04:21:36,Penza Oblast,56438,46377,08-03-2021 09.23.24
2021-08-02 04:21:36,Perm Krai,73526,65209,08-03-2021 09.23.24
2021-08-02 04:21:36,Primorsky Krai,54821,48378,08-03-2021 09.23.24
2021-08-02 04:21:36,Pskov Oblast,43758,36225,08-03-2021 09.23.24
2021-08-02 04:21:36,Rostov Oblast,110055,97373,08-03-2021 09.23.24
2021-08-02 04:21:36,Ryazan Oblast,35292,32797,08-03-2021 09.23.24
2021-08-02 04:21:36,Saint Petersburg,530637,505321,08-03-2021 09.23.24
2021-08-02 04:21:36,Sakha (Yakutiya) Republic,44721,39702,08-03-2021 09.23.24
2021-08-02 04:21:36,Sakhalin Oblast,27536,25660,08-03-2021 09.23.24
2021-08-02 04:21:36,Samara Oblast,76773,70998,08-03-2021 09.23.24
2021-08-02 04:21:36,Saratov Oblast,73330,68322,08-03-2021 09.23.24
2021-08-02 04:21:36,Smolensk Oblast,41666,34517,08-03-2021 09.23.24
2021-08-02 04:21:36,Stavropol Krai,64912,56774,08-03-2021 09.23.24
2021-08-02 04:21:36,Sverdlovsk Oblast,107941,100299,08-03-2021 09.23.24
2021-08-02 04:21:36,Tambov Oblast,37778,35678,08-03-2021 09.23.24
2021-08-02 04:21:36,Tatarstan Republic,23982,21283,08-03-2021 09.23.24
2021-08-02 04:21:36,Tomsk Oblast,37301,33495,08-03-2021 09.23.24
2021-08-02 04:21:36,Tula Oblast,47546,41171,08-03-2021 09.23.24
2021-08-02 04:21:36,Tver Oblast,53898,45856,08-03-2021 09.23.24
2021-08-02 04:21:36,Tyumen Oblast,46842,43444,08-03-2021 09.23.24
2021-08-02 04:21:36,Tyva Republic,21501,17816,08-03-2021 09.23.24
2021-08-02 04:21:36,Udmurt Republic,40057,33642,08-03-2021 09.23.24
2021-08-02 04:21:36,Ulyanovsk Oblast,65894,61495,08-03-2021 09.23.24
2021-08-02 04:21:36,Vladimir Oblast,43435,40346,08-03-2021 09.23.24
2021-08-02 04:21:36,Volgograd Oblast,71565,63752,08-03-2021 09.23.24
2021-08-02 04:21:36,Vologda Oblast,54981,49036,08-03-2021 09.23.24
2021-08-02 04:21:36,Voronezh Oblast,104503,96458,08-03-2021 09.23.24
2021-08-02 04:21:36,Yamalo-Nenets Autonomous Okrug,43757,41583,08-03-2021 09.23.24
2021-08-02 04:21:36,Yaroslavl Oblast,49935,43736,08-03-2021 09.23.24
2021-08-02 04:21:36,Zabaykalsky Krai,56590,50657,08-03-2021 09.23.24
2021-08-01 04:21:50,Adygea Republic,16296,15112,08-03-2021 09.23.24
2021-08-01 04:21:50,Altai Krai,62089,49024,08-03-2021 09.23.24
2021-08-01 04:21:50,Altai Republic,19435,18000,08-03-2021 09.23.24
2021-08-01 04:21:50,Amur Oblast,27706,24797,08-03-2021 09.23.24
2021-08-01 04:21:50,Arkhangelsk Oblast,73932,69431,08-03-2021 09.23.24
2021-08-01 04:21:50,Astrakhan Oblast,43388,36524,08-03-2021 09.23.24
2021-08-01 04:21:50,Bashkortostan Republic,48251,44612,08-03-2021 09.23.24
2021-08-01 04:21:50,Belgorod Oblast,44591,41538,08-03-2021 09.23.24
2021-08-01 04:21:50,Bryansk Oblast,54108,49145,08-03-2021 09.23.24
2021-08-01 04:21:50,Buryatia Republic,52374,47133,08-03-2021 09.23.24
2021-08-01 04:21:50,Chechen Republic,15965,12999,08-03-2021 09.23.24
2021-08-01 04:21:50,Chelyabinsk Oblast,73504,66101,08-03-2021 09.23.24
2021-08-01 04:21:50,Chukotka Autonomous Okrug,1164,856,08-03-2021 09.23.24
2021-08-01 04:21:50,Chuvashia Republic,29291,26689,08-03-2021 09.23.24
2021-08-01 04:21:50,Dagestan Republic,41712,37215,08-03-2021 09.23.24
2021-08-01 04:21:50,Ingushetia Republic,17636,16289,08-03-2021 09.23.24
2021-08-01 04:21:50,Irkutsk Oblast,85430,72827,08-03-2021 09.23.24
2021-08-01 04:21:50,Ivanovo Oblast,41391,38185,08-03-2021 09.23.24
2021-08-01 04:21:50,Jewish Autonomous Okrug,5733,4467,08-03-2021 09.23.24
2021-08-01 04:21:50,Kabardino-Balkarian Republic,27004,24923,08-03-2021 09.23.24
2021-08-01 04:21:50,Kaliningrad Oblast,43062,39983,08-03-2021 09.23.24
2021-08-01 04:21:50,Kalmykia Republic,24818,21750,08-03-2021 09.23.24
2021-08-01 04:21:50,Kaluga Oblast,41148,38485,08-03-2021 09.23.24
2021-08-01 04:21:50,Kamchatka Krai,16779,14496,08-03-2021 09.23.24
2021-08-01 04:21:50,Karachay-Cherkess Republic,22385,20685,08-03-2021 09.23.24
2021-08-01 04:21:50,Karelia Republic,55827,52361,08-03-2021 09.23.24
2021-08-01 04:21:50,Kemerovo Oblast,45868,43169,08-03-2021 09.23.24
2021-08-01 04:21:50,Khabarovsk Krai,65456,58935,08-03-2021 09.23.24
2021-08-01 04:21:50,Khakassia Republic,30293,26343,08-03-2021 09.23.24
2021-08-01 04:21:50,Khanty-Mansi Autonomous Okrug,65345,61610,08-03-2021 09.23.24
2021-08-01 04:21:50,Kirov Oblast,50302,47334,08-03-2021 09.23.24
2021-08-01 04:21:50,Komi Republic,55173,47755,08-03-2021 09.23.24
2021-08-01 04:21:50,Kostroma Oblast,27180,22595,08-03-2021 09.23.24
2021-08-01 04:21:50,Krasnodar Krai,59050,47175,08-03-2021 09.23.24
2021-08-01 04:21:50,Krasnoyarsk Krai,90994,76356,08-03-2021 09.23.24
2021-08-01 04:21:50,Kurgan Oblast,25767,23493,08-03-2021 09.23.24
2021-08-01 04:21:50,Kursk Oblast,46446,43453,08-03-2021 09.23.24
2021-08-01 04:21:50,Leningrad Oblast,56088,47185,08-03-2021 09.23.24
2021-08-01 04:21:50,Lipetsk Oblast,39727,34318,08-03-2021 09.23.24
2021-08-01 04:21:50,Magadan Oblast,9496,8710,08-03-2021 09.23.24
2021-08-01 04:21:50,Mari El Republic,16081,14693,08-03-2021 09.23.24
2021-08-01 04:21:50,Mordovia Republic,23864,21049,08-03-2021 09.23.24
2021-08-01 04:21:50,Moscow,1506126,1360030,08-03-2021 09.23.24
2021-08-01 04:21:50,Moscow Oblast,385237,314700,08-03-2021 09.23.24
2021-08-01 04:21:50,Murmansk Oblast,61881,51125,08-03-2021 09.23.24
2021-08-01 04:21:50,Nenets Autonomous Okrug,1578,1470,08-03-2021 09.23.24
2021-08-01 04:21:50,Nizhny Novgorod Oblast,140558,128056,08-03-2021 09.23.24
2021-08-01 04:21:50,North Ossetia - Alania Republic,18758,17201,08-03-2021 09.23.24
2021-08-01 04:21:50,Novgorod Oblast,36484,34079,08-03-2021 09.23.24
2021-08-01 04:21:50,Novosibirsk Oblast,52720,44735,08-03-2021 09.23.24
2021-08-01 04:21:50,Omsk Oblast,61237,54662,08-03-2021 09.23.24
2021-08-01 04:21:50,Orel Oblast,40174,37902,08-03-2021 09.23.24
2021-08-01 04:21:50,Orenburg Oblast,56280,46892,08-03-2021 09.23.24
2021-08-01 04:21:50,Penza Oblast,56206,46335,08-03-2021 09.23.24
2021-08-01 04:21:50,Perm Krai,73059,64808,08-03-2021 09.23.24
2021-08-01 04:21:50,Primorsky Krai,54566,48100,08-03-2021 09.23.24
2021-08-01 04:21:50,Pskov Oblast,43642,36199,08-03-2021 09.23.24
2021-08-01 04:21:50,Rostov Oblast,109626,97091,08-03-2021 09.23.24
2021-08-01 04:21:50,Ryazan Oblast,35167,32696,08-03-2021 09.23.24
2021-08-01 04:21:50,Saint Petersburg,528726,503621,08-03-2021 09.23.24
2021-08-01 04:21:50,Sakha (Yakutiya) Republic,44561,39692,08-03-2021 09.23.24
2021-08-01 04:21:50,Sakhalin Oblast,27427,25588,08-03-2021 09.23.24
2021-08-01 04:21:50,Samara Oblast,76310,70752,08-03-2021 09.23.24
2021-08-01 04:21:50,Saratov Oblast,73074,68198,08-03-2021 09.23.24
2021-08-01 04:21:50,Smolensk Oblast,41503,34415,08-03-2021 09.23.24
2021-08-01 04:21:50,Stavropol Krai,64598,56634,08-03-2021 09.23.24
2021-08-01 04:21:50,Sverdlovsk Oblast,107421,99847,08-03-2021 09.23.24
2021-08-01 04:21:50,Tambov Oblast,37682,35573,08-03-2021 09.23.24
2021-08-01 04:21:50,Tatarstan Republic,23931,21274,08-03-2021 09.23.24
